post,azimuth,wind_direction,concentration,distance,U
28,63.0,2.08,4.9036,50,3.86
28,63.0,2.08,0.1978,100,3.86
29,64.5,3.12,11.191799999999999,50,3.86
29,64.5,3.12,0.5267000000000001,100,3.86
30,66.0,4.16,17.48,50,3.86
30,66.0,4.16,0.8556,100,3.86
31,67.5,5.205,23.137999999999998,50,3.86
31,67.5,5.205,1.9227999999999998,100,3.86
32,69.0,6.25,28.796000000000003,50,3.86
32,69.0,6.25,2.99,100,3.86
32,69.0,6.25,0.053360000000000005,200,3.86
33,70.5,6.46,32.752,50,3.86
33,70.5,6.46,5.4188,100,3.86
33,70.5,6.46,0.13892,200,3.86
