Run 1
Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),Concentrations (mg/m3) 50,Concentrations (mg/m3) 100,Concentrations (mg/m3) 200
16,45,70,2.500,3.780,0.950,0.130
17,48,73,3.760,6.370,1.440,0.200
18,51,76,4.170,8.680,1.940,0.340
19,54,79,4.170,11.200,2.600,0.480
20,57,82,3.760,10.300,3.290,0.490
21,60,85,6.890,11.000,2.830,0.430
22,63,88,3.340,10.400,2.140,0.350
23,66,91,3.760,7.500,1.260,0.240
24,69,94,4.590,6.440,1.360,0.300
25,72,97,3.760,7.120,1.500,0.290
26,75,100,3.340,6.410,1.600,0.340
27,78,103,6.470,6.190,1.800,0.410
28,81,106,6.470,5.380,2.380,0.360
29,84,109,3.760,5.240,1.450,0.230
30,87,112,2.090,4.410,0.800,0.180
31,90,115,2.300,3.150,0.450,0.160
32,93,118,1.460,2.600,0.540,0.030
33,96,121,1.250,2.250,0.420,NaN
34,99,124,0.630,1.000,0.410,NaN
35,102,127,0.630,0.840,0.290,NaN
36,105,130,0.840,0.930,0.015,NaN
37,108,133,0.630,0.590,NaN,NaN
38,111,136,1.040,0.530,NaN,NaN
39,114,139,NaN,0.910,NaN,NaN
40,117,142,NaN,0.115,NaN,NaN
41,120,145,NaN,0.015,NaN,NaN
42,123,148,NaN,NaN,NaN,NaN
Run 13
9,24,49,NaN,NaN,NaN,NaN
10,27,52,0.210,NaN,NaN,NaN
11,30,55,NaN,NaN,NaN,NaN
12,33,58,0.210,NaN,NaN,NaN
13,36,61,NaN,NaN,NaN,NaN
14,39,64,NaN,NaN,NaN,NaN
15,42,67,0.410,NaN,NaN,NaN
16,45,70,0.410,0.030,NaN,NaN
17,48,73,NaN,0.110,NaN,NaN
18,51,76,1.450,0.350,0.025,NaN
19,54,79,0.620,0.600,0.055,NaN
20,57,82,2.070,1.310,0.140,NaN
21,60,85,4.140,2.310,0.340,NaN
22,63,88,5.590,3.340,0.340,0.055
23,66,91,7.250,4.650,1.120,0.205
24,69,94,9.520,4.790,1.570,0.370
25,72,97,6.830,6.350,1.880,0.610
26,75,100,9.730,7.350,2.480,0.700
27,78,103,7.040,8.160,2.530,0.490
28,81,106,7.660,7.580,1.950,0.400
29,84,109,4.560,6.840,1.650,0.370
30,87,112,6.000,5.680,1.410,0.310
31,90,115,3.520,4.280,0.990,0.330
32,93,118,3.730,3.490,0.800,0.290
33,96,121,3.930,3.300,0.810,0.220
34,99,124,3.930,2.820,0.750,0.165
35,102,127,2.280,2.650,0.600,0.085
36,105,130,4.560,1.750,0.470,0.055
37,108,133,1.240,1.150,0.210,NaN
38,111,136,1.240,0.840,0.110,NaN
39,114,139,1.450,0.430,0.035,NaN
40,117,142,0.210,0.300,NaN,NaN
41,120,145,NaN,0.145,NaN,NaN
42,123,148,0.210,0.030,NaN,NaN
43,126,151,NaN,0.025,NaN,NaN
44,129,154,NaN,NaN,NaN,NaN
Run 14
4,9,34,NaN,NaN,NaN,NaN
5,12,37,0.620,NaN,NaN,NaN
6,15,40,0.410,NaN,NaN,NaN
7,18,43,0.620,0.085,NaN,NaN
8,21,46,0.410,0.170,NaN,NaN
9,24,49,1.040,0.300,NaN,NaN
10,27,52,0.830,0.340,0.015,NaN
11,30,55,0.830,0.480,0.055,0.030
12,33,58,1.040,1.260,0.085,0.040
13,36,61,1.040,1.350,0.205,0.070
14,39,64,1.450,1.940,0.390,0.060
15,42,67,1.870,3.070,0.690,0.115
16,45,70,2.070,3.910,1.150,0.200
17,48,73,2.070,5.560,1.160,0.100
18,51,76,4.560,4.860,1.100,0.100
19,54,79,1.870,3.350,1.150,0.090
20,57,82,3.110,3.550,1.110,0.135
21,60,85,1.660,5.500,0.970,0.220
22,63,88,3.740,6.840,1.620,0.240
23,66,91,6.640,10.300,1.810,0.330
24,69,94,6.020,12.100,2.640,0.410
25,72,97,3.530,10.000,2.560,0.650
26,75,100,6.640,7.970,3.250,0.960
27,78,103,5.190,7.770,3.040,0.900
28,81,106,8.300,6.520,2.160,0.620
29,84,109,4.150,7.590,2.020,0.440
30,87,112,4.980,7.400,1.690,0.490
31,90,115,1.870,5.570,1.680,0.460
32,93,118,4.150,5.100,1.260,0.250
33,96,121,1.450,3.750,0.730,0.050
34,99,124,5.390,2.180,0.390,0.030
35,102,127,2.700,1.500,0.490,0.030
36,105,130,3.320,1.920,0.180,0.010
37,108,133,0.830,1.520,0.110,NaN
38,111,136,1.660,1.210,0.015,NaN
39,114,139,1.040,0.640,NaN,NaN
40,117,142,0.410,0.375,NaN,NaN
41,120,145,NaN,0.140,NaN,NaN
42,123,148,NaN,0.170,NaN,NaN
43,126,151,0.620,NaN,NaN,NaN
44,129,154,0.210,NaN,NaN,NaN
45,132,157,0.210,NaN,NaN,NaN
46,135,160,0.410,NaN,NaN,NaN
47,138,163,NaN,NaN,NaN,NaN
48,141,166,0.830,NaN,NaN,NaN
49,144,169,0.210,NaN,NaN,NaN
50,147,172,NaN,NaN,NaN,NaN
Run 15
17,48,73,NaN,NaN,NaN,NaN
18,51,76,0.210,0.025,NaN,NaN
19,54,79,0.410,0.140,NaN,NaN
20,57,82,NaN,0.145,NaN,NaN
21,60,85,0.830,0.550,NaN,NaN
22,63,88,0.210,1.340,0.030,NaN
23,66,91,1.250,1.600,0.145,NaN
24,69,94,1.870,2.650,0.350,NaN
25,72,97,0.830,3.690,0.430,NaN
26,75,100,1.870,2.440,0.600,0.035
27,78,103,1.250,1.970,0.710,0.070
28,81,106,2.080,1.870,0.330,0.125
29,84,109,1.450,2.350,0.330,0.035
30,87,112,0.410,2.110,0.230,0.045
31,90,115,4.150,3.620,0.480,0.115
32,93,118,3.530,2.710,1.090,0.075
33,96,121,1.040,3.560,0.390,0.020
34,99,124,1.660,3.240,0.240,0.040
35,102,127,2.490,3.410,0.740,0.040
36,105,130,3.110,5.080,1.040,0.075
37,108,133,2.490,7.070,1.230,0.105
38,111,136,2.490,7.430,1.680,0.130
39,114,139,3.730,7.420,1.810,0.360
40,117,142,3.940,5.880,1.710,0.410
41,120,145,2.900,3.500,1.800,0.330
42,123,148,2.080,3.180,1.750,0.300
43,126,151,3.530,4.490,1.160,0.185
44,129,154,3.940,4.620,1.190,0.200
45,132,157,4.150,4.030,1.300,0.195
46,135,160,7.050,5.300,1.120,0.350
47,138,163,5.810,6.140,2.040,0.510
48,141,166,6.430,6.260,2.550,0.690
49,144,169,4.560,8.590,2.410,0.630
50,147,172,4.980,12.600,2.460,0.620
51,150,175,7.050,8.930,2.680,0.690
52,153,178,3.940,5.440,1.880,0.530
53,156,181,1.040,3.030,1.070,0.290
54,159,184,0.830,1.970,0.660,0.250
55,162,187,NaN,2.050,0.770,0.160
56,165,190,NaN,2.130,0.540,0.135
57,168,193,NaN,1.650,0.530,0.135
58,171,196,0.410,0.470,0.360,0.070
59,174,199,NaN,0.150,0.290,NaN
60,177,202,NaN,0.035,0.030,NaN
61,180,205,NaN,NaN,NaN,NaN
Run 16
8,21,46,NaN,NaN,NaN,NaN
9,24,49,0.210,NaN,NaN,NaN
10,27,52,NaN,NaN,NaN,NaN
11,30,55,0.210,0.010,NaN,NaN
12,33,58,NaN,0.010,NaN,NaN
13,36,61,0.210,0.030,NaN,NaN
14,39,64,NaN,0.025,NaN,NaN
15,42,67,NaN,0.055,NaN,NaN
16,45,70,NaN,0.020,0.005,NaN
17,48,73,NaN,0.075,0.020,NaN
18,51,76,NaN,0.045,0.010,NaN
19,54,79,0.410,0.050,NaN,NaN
20,57,82,0.210,0.420,0.020,NaN
21,60,85,1.250,1.520,0.030,NaN
22,63,88,3.110,2.490,0.220,0.005
23,66,91,4.980,4.270,0.430,0.020
24,69,94,8.920,6.660,0.780,0.060
25,72,97,4.980,12.000,1.990,0.185
26,75,100,10.160,15.200,5.400,0.590
27,78,103,13.900,16.400,6.590,1.500
28,81,106,15.140,16.400,6.900,2.230
29,84,109,6.430,18.600,7.440,2.550
30,87,112,5.600,19.000,5.740,2.130
31,90,115,4.770,15.900,3.800,1.280
32,93,118,5.190,11.100,2.690,0.610
33,96,121,3.940,6.200,2.110,0.185
34,99,124,2.070,3.320,1.260,0.065
35,102,127,2.700,2.530,0.490,0.040
36,105,130,1.250,2.500,0.095,0.005
37,108,133,1.660,1.460,0.045,NaN
38,111,136,1.450,0.450,0.025,NaN
39,114,139,0.410,0.025,0.010,NaN
40,117,142,0.210,0.035,0.010,NaN
41,120,145,0.210,NaN,NaN,NaN
42,123,148,0.210,NaN,NaN,NaN
43,126,151,NaN,NaN,NaN,NaN
44,129,154,0.210,NaN,NaN,NaN
45,132,157,NaN,NaN,NaN,NaN
Run 17
13,36,61,NaN,NaN,NaN,NaN
14,39,64,0.210,NaN,NaN,NaN
15,42,67,0.410,NaN,NaN,NaN
16,45,70,0.210,NaN,NaN,NaN
17,48,73,1.240,NaN,NaN,NaN
18,51,76,1.870,0.215,NaN,NaN
19,54,79,0.620,2.630,NaN,NaN
20,57,82,3.730,6.160,0.055,NaN
21,60,85,6.220,11.700,0.450,NaN
22,63,88,11.000,26.000,4.910,0.045
23,66,91,10.170,49.800,12.600,0.860
24,69,94,9.750,51.300,31.100,7.030
25,72,97,11.410,59.900,32.400,14.100
26,75,100,15.970,55.400,24.200,9.500
27,78,103,11.830,44.900,15.100,3.180
28,81,106,12.560,20.100,4.510,0.670
