Run,Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),Height (m),Distance,Concentration (mg/m3)
2.0,80.0,1.5,141.0,0.83,4.8,100,0.12194
2.0,80.0,1.5,141.0,0.83,4.8,200,8.1134
2.0,80.0,1.5,141.0,0.83,4.8,50,3.9949
2.0,81.0,1.5,142.5,4.2735,4.8,100,25.443
2.0,81.0,1.5,142.5,4.2735,4.8,200,8.1134
2.0,81.0,1.5,142.5,4.2735,4.8,50,70.163
2.0,82.0,1.5,144.0,4.2735,4.8,100,0.04186
2.0,82.0,1.5,144.0,4.2735,4.8,200,8.1134
2.0,82.0,1.5,144.0,4.2735,4.8,50,1.729
2.0,83.0,1.5,145.5,4.2735,4.8,100,25.443
2.0,83.0,1.5,145.5,4.2735,4.8,200,8.1134
2.0,83.0,1.5,145.5,4.2735,4.8,50,70.163
2.0,84.0,1.5,147.0,4.2735,4.8,100,25.443
2.0,84.0,1.5,147.0,4.2735,4.8,200,8.1134
2.0,84.0,1.5,147.0,4.2735,4.8,50,1.2831
2.0,85.0,1.5,148.5,4.2735,4.8,100,25.443
2.0,85.0,1.5,148.5,4.2735,4.8,200,8.1134
2.0,85.0,1.5,148.5,4.2735,4.8,50,70.163
2.0,86.0,1.5,150.0,4.2735,2.5,100,25.443
2.0,86.0,1.5,150.0,4.2735,2.5,200,8.1134
2.0,86.0,1.5,150.0,4.2735,2.5,50,0.07007
2.0,87.0,1.5,151.5,4.2735,1.0,100,25.443
2.0,87.0,1.5,151.5,4.2735,1.0,200,8.1134
2.0,87.0,1.5,151.5,4.2735,1.0,50,70.163
3.0,45.0,1.5,88.5,4.2735,4.8,100,26.002
3.0,45.0,1.5,88.5,4.2735,4.8,200,8.2917
3.0,45.0,1.5,88.5,4.2735,4.8,50,71.705
3.0,46.0,1.5,90.0,0.42,4.8,100,26.002
3.0,46.0,1.5,90.0,0.42,4.8,200,8.2917
3.0,46.0,1.5,90.0,0.42,4.8,50,71.705
3.0,47.0,1.5,91.5,4.2735,4.8,100,26.002
3.0,47.0,1.5,91.5,4.2735,4.8,200,8.2917
3.0,47.0,1.5,91.5,4.2735,4.8,50,71.705
3.0,48.0,1.5,93.0,4.2735,4.8,100,26.002
3.0,48.0,1.5,93.0,4.2735,4.8,200,8.2917
3.0,48.0,1.5,93.0,4.2735,4.8,50,0.02883
3.0,49.0,1.5,94.5,4.2735,4.8,100,26.002
3.0,49.0,1.5,94.5,4.2735,4.8,200,8.2917
3.0,49.0,1.5,94.5,4.2735,4.8,50,71.705
3.0,50.0,1.5,96.0,1.25,4.8,100,26.002
3.0,50.0,1.5,96.0,1.25,4.8,200,8.2917
3.0,50.0,1.5,96.0,1.25,4.8,50,0.45198
3.0,51.0,1.5,97.5,4.2735,4.8,100,26.002
3.0,51.0,1.5,97.5,4.2735,4.8,200,8.2917
3.0,51.0,1.5,97.5,4.2735,4.8,50,71.705
3.0,52.0,1.5,99.0,0.83,4.8,100,26.002
3.0,52.0,1.5,99.0,0.83,4.8,200,8.2917
3.0,52.0,1.5,99.0,0.83,4.8,50,0.57288
3.0,53.0,1.5,100.5,4.2735,4.8,100,26.002
3.0,53.0,1.5,100.5,4.2735,4.8,200,8.2917
3.0,53.0,1.5,100.5,4.2735,4.8,50,71.705
3.0,54.0,1.5,102.0,1.25,4.8,100,26.002
3.0,54.0,1.5,102.0,1.25,4.8,200,8.2917
3.0,54.0,1.5,102.0,1.25,4.8,50,4.0176
3.0,55.0,1.5,103.5,4.2735,4.8,100,26.002
3.0,55.0,1.5,103.5,4.2735,4.8,200,8.2917
3.0,55.0,1.5,103.5,4.2735,4.8,50,71.705
3.0,56.0,1.5,105.0,2.5,2.5,100,0.18879
3.0,56.0,1.5,105.0,2.5,2.5,200,8.2917
3.0,56.0,1.5,105.0,2.5,2.5,50,11.067
3.0,57.0,1.5,106.5,4.2735,1.0,100,26.002
3.0,57.0,1.5,106.5,4.2735,1.0,200,8.2917
3.0,57.0,1.5,106.5,4.2735,1.0,50,71.705
3.0,58.0,1.5,108.0,3.33,0.5,100,1.2462
3.0,58.0,1.5,108.0,3.33,0.5,200,0.03534
3.0,58.0,1.5,108.0,3.33,0.5,50,19.623
3.0,59.0,1.5,109.5,4.2735,4.8,100,26.002
3.0,59.0,1.5,109.5,4.2735,4.8,200,8.2917
3.0,59.0,1.5,109.5,4.2735,4.8,50,71.705
3.0,60.0,1.5,111.0,2.5,4.8,100,4.1943
3.0,60.0,1.5,111.0,2.5,4.8,200,0.24738
3.0,60.0,1.5,111.0,2.5,4.8,50,41.664
3.0,61.0,1.5,112.5,4.2735,4.8,100,26.002
3.0,61.0,1.5,112.5,4.2735,4.8,200,8.2917
3.0,61.0,1.5,112.5,4.2735,4.8,50,71.705
3.0,62.0,1.5,114.0,7.5,4.8,100,20.367
3.0,62.0,1.5,114.0,7.5,4.8,200,1.9344
3.0,62.0,1.5,114.0,7.5,4.8,50,76.353
3.0,63.0,1.5,115.5,4.2735,4.8,100,26.002
3.0,63.0,1.5,115.5,4.2735,4.8,200,8.2917
3.0,63.0,1.5,115.5,4.2735,4.8,50,71.705
3.0,64.0,1.5,117.0,5.42,4.8,100,34.038
3.0,64.0,1.5,117.0,5.42,4.8,200,7.719
3.0,64.0,1.5,117.0,5.42,4.8,50,112.53
3.0,65.0,1.5,118.5,4.2735,4.8,100,26.002
3.0,65.0,1.5,118.5,4.2735,4.8,200,8.2917
3.0,65.0,1.5,118.5,4.2735,4.8,50,71.705
3.0,66.0,1.5,120.0,9.17,2.5,100,52.638
3.0,66.0,1.5,120.0,9.17,2.5,200,15.159
3.0,66.0,1.5,120.0,9.17,2.5,50,143.22
3.0,67.0,1.5,121.5,4.2735,1.0,100,26.002
3.0,67.0,1.5,121.5,4.2735,1.0,200,8.2917
3.0,67.0,1.5,121.5,4.2735,1.0,50,71.705
3.0,68.0,1.5,123.0,5.0,0.5,100,64.914
3.0,68.0,1.5,123.0,5.0,0.5,200,18.972
3.0,68.0,1.5,123.0,5.0,0.5,50,221.34
3.0,69.0,1.5,124.5,4.2735,4.8,100,26.002
3.0,69.0,1.5,124.5,4.2735,4.8,200,8.2917
3.0,69.0,1.5,124.5,4.2735,4.8,50,71.705
3.0,70.0,1.5,126.0,10.0,4.8,100,68.727
3.0,70.0,1.5,126.0,10.0,4.8,200,20.739
3.0,70.0,1.5,126.0,10.0,4.8,50,243.66
3.0,71.0,1.5,127.5,4.2735,4.8,100,26.002
3.0,71.0,1.5,127.5,4.2735,4.8,200,8.2917
3.0,71.0,1.5,127.5,4.2735,4.8,50,71.705
3.0,72.0,1.5,129.0,10.83,4.8,100,54.963
3.0,72.0,1.5,129.0,10.83,4.8,200,18.693
3.0,72.0,1.5,129.0,10.83,4.8,50,190.65
3.0,73.0,1.5,130.5,4.2735,4.8,100,26.002
3.0,73.0,1.5,130.5,4.2735,4.8,200,8.2917
3.0,73.0,1.5,130.5,4.2735,4.8,50,71.705
3.0,74.0,1.5,132.0,9.17,4.8,100,41.664
3.0,74.0,1.5,132.0,9.17,4.8,200,9.579
3.0,74.0,1.5,132.0,9.17,4.8,50,126.48
3.0,75.0,1.5,133.5,4.2735,4.8,100,26.002
3.0,75.0,1.5,133.5,4.2735,4.8,200,8.2917
3.0,75.0,1.5,133.5,4.2735,4.8,50,71.705
3.0,76.0,1.5,135.0,5.42,2.5,100,23.622
3.0,76.0,1.5,135.0,5.42,2.5,200,3.0132
3.0,76.0,1.5,135.0,5.42,2.5,50,102.3
3.0,77.0,1.5,136.5,4.2735,1.0,100,26.002
3.0,77.0,1.5,136.5,4.2735,1.0,200,8.2917
3.0,77.0,1.5,136.5,4.2735,1.0,50,71.705
3.0,78.0,1.5,138.0,7.5,0.5,100,12.369
3.0,78.0,1.5,138.0,7.5,0.5,200,0.79515
3.0,78.0,1.5,138.0,7.5,0.5,50,80.445
3.0,79.0,1.5,139.5,4.2735,4.8,100,26.002
3.0,79.0,1.5,139.5,4.2735,4.8,200,8.2917
