Run,Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),Height (m),Corrected_10-min Concentrations (mg/m3) 50,Corrected_10-min Concentrations (mg/m3) 100,Corrected_10-min Concentrations (mg/m3) 200,Corrected_3-min Concentrations (mg/m3) 50,Corrected_3-min Concentrations (mg/m3) 100,Corrected_3-min Concentrations (mg/m3) 200,Corrected_0.5-min Concentrations (mg/m3) 50,Corrected_0.5-min Concentrations (mg/m3) 100,Corrected_0.5-min Concentrations (mg/m3) 200,10-min Vertical Samples Concentrations (mg/m3) 50,10-min Vertical Samples Concentrations (mg/m3) 100,10-min Vertical Samples Concentrations (mg/m3) 200
3.0,80.0,1.5,141.0,6.25,4.8,36.549,3.5712,0.09486,39.615,2.945,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,81.0,1.5,142.5,4.2735,4.8,71.705,26.002,8.2917,36.765,0.15485,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,82.0,1.5,144.0,4.58,4.8,15.624,0.47337,8.2917,23.085,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,83.0,1.5,145.5,4.2735,4.8,71.705,26.002,8.2917,8.7685,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,84.0,1.5,147.0,2.92,4.8,5.5893,0.16647,8.2917,8.6735,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,85.0,1.5,148.5,4.2735,4.8,71.705,26.002,8.2917,3.895,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,86.0,1.5,150.0,2.08,2.5,2.6691,0.05673,8.2917,1.919,39.774,9.3092,146.82,60.928,10.898,2.71,-99.0,9.3305
3.0,87.0,1.5,151.5,4.2735,1.0,71.705,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,2.41,29.573,9.3305
3.0,88.0,1.5,153.0,1.66,0.5,0.65658,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,2.19,0.115,9.3305
3.0,89.0,1.5,154.5,4.2735,4.8,71.705,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,90.0,1.5,156.0,4.2735,4.8,0.06696,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,91.0,1.5,157.5,4.2735,4.8,71.705,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,92.0,1.5,159.0,0.42,4.8,0.04371,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
3.0,93.0,1.5,160.5,4.2735,4.8,71.705,26.002,8.2917,105.92,39.774,9.3092,146.82,60.928,10.898,86.326,29.573,9.3305
